planner,family,scene_idx,seed,success,steps,path_length,n_contacts,n_sensed
surp,collision_required,47,47,True,228,8.421698,12,5
beacon,collision_shortcut,47,47,True,120,4.569104,0,4
surp,collision_shortcut,47,47,True,206,7.853932,2,7
beacon,sparse,48,48,True,118,4.525643,0,2
surp,sparse,48,48,True,133,5.163283,0,2
beacon,cluttered,48,48,True,120,4.525643,0,4
surp,cluttered,48,48,True,340,12.426836,20,10
beacon,collision_required,48,48,True,117,4.525643,0,1
surp,collision_required,48,48,True,131,5.093968,0,2
beacon,collision_shortcut,48,48,True,119,4.525643,0,3
surp,collision_shortcut,48,48,True,135,5.154809,2,5
beacon,sparse,49,49,True,112,4.231939,0,4
surp,sparse,49,49,True,148,5.673477,0,5
beacon,cluttered,49,49,True,113,4.231939,0,5
surp,cluttered,49,49,True,141,5.307316,0,7
beacon,collision_required,49,49,True,110,4.231939,0,2
surp,collision_required,49,49,True,132,4.849072,12,4
beacon,collision_shortcut,49,49,True,113,4.231939,0,5
surp,collision_shortcut,49,49,True,215,7.614123,18,10
beacon,sparse,50,50,True,100,3.87359,0,1
surp,sparse,50,50,True,103,4.02921,0,1
beacon,cluttered,50,50,True,103,3.87359,0,4
surp,cluttered,50,50,True,117,4.412443,4,3
beacon,collision_required,50,50,True,119,4.621932,0,1
surp,collision_required,50,50,True,149,5.597061,6,3
beacon,collision_shortcut,50,50,True,123,4.621932,0,5
surp,collision_shortcut,50,50,True,341,12.400583,37,13
beacon,sparse,51,51,True,96,3.631314,0,3
surp,sparse,51,51,True,106,3.994301,0,5
beacon,cluttered,51,51,True,110,4.006829,0,8
surp,cluttered,51,51,False,502,7.738667,112,8
beacon,collision_required,51,51,False,502,20.0,0,1
surp,collision_required,51,51,True,195,7.398174,10,5
beacon,collision_shortcut,51,51,False,502,20.0,0,1
surp,collision_shortcut,51,51,False,501,10.468095,217,5
beacon,sparse,52,52,True,106,4.153351,0,1
surp,sparse,52,52,True,111,4.299314,0,2
beacon,cluttered,52,52,True,110,4.153351,0,5
surp,cluttered,52,52,False,546,20.242857,37,10
beacon,collision_required,52,52,True,107,4.153351,0,2
surp,collision_required,52,52,True,119,4.550964,0,4
beacon,collision_shortcut,52,52,True,109,4.153351,0,3
surp,collision_shortcut,52,52,True,128,4.903661,2,4
beacon,sparse,53,53,True,167,6.461892,0,4
surp,sparse,53,53,True,228,8.875814,2,5
beacon,cluttered,53,53,True,187,7.039941,0,10
surp,cluttered,53,53,False,522,18.831333,47,13
beacon,collision_required,53,53,True,167,6.461892,0,4
surp,collision_required,53,53,True,210,8.155748,2,5
beacon,collision_shortcut,53,53,True,159,6.026914,0,6
surp,collision_shortcut,53,53,True,250,9.038951,35,9
